4 20 1 1
1 23278 83204 1 4
10 35381 95387 0 2
11 4893 29068 1 4
12 21875 74008 1 2
13 21698 81703 0 2
14 9758 63149 1 4
15 11707 47225 1 3
16 1971 7987 1 3
17 14330 53834 1 3
18 13331 41076 1 4
19 20838 80850 0 2
2 7270 30432 1 3
20 21383 81391 0 4
3 6399 28577 1 2
4 9574 50252 1 2
5 23957 76195 1 3
6 3518 15940 1 4
7 20569 59263 1 2
8 21687 81692 0 3
9 34648 94656 0 3
