4 20 2 1
1 22560 82564 0 3
10 7351 34559 1 4
11 4725 56012 1 2
12 21242 81243 0 4
13 21065 81067 0 1
14 9583 55812 1 4
15 11421 71426 0 4
16 2037 7491 1 3
17 13958 73962 0 3
18 12779 42312 1 2
19 20231 80233 0 1
2 7083 64282 1 1
20 20764 80765 0 4
3 6251 27009 1 3
4 9400 69416 0 3
5 23214 83221 0 1
6 3422 15460 1 4
7 19960 79967 0 4
8 21054 81056 0 3
9 8083 47555 1 3
