8 20 2 3
1 14567 76090 1 4
10 16826 45747 1 3
11 13642 36049 1 4
12 32622 63273 1 1
13 9653 27181 1 6
14 31797 57749 1 5
15 7656 21668 1 2
16 8454 78458 0 3
17 11804 81806 0 2
18 18917 72662 1 2
19 32611 57354 1 4
2 13631 83635 0 6
20 19539 40247 1 2
3 11685 74887 1 3
4 15074 40951 1 7
5 15726 66388 1 6
6 14578 70088 1 7
7 22681 40436 1 5
8 19527 57306 1 2
9 18935 60431 1 3
