4 20 1 1
1 23069 78597 1 3
10 35109 95117 0 2
11 4939 21769 1 4
12 21745 69385 1 4
13 21561 78175 1 2
14 9928 43877 1 4
15 11760 49263 1 2
16 2005 10845 1 3
17 14295 55780 1 2
18 13113 55172 1 4
19 20730 80737 0 2
2 7366 32596 1 2
20 21265 81270 0 4
3 6475 28956 1 3
4 9740 50668 1 3
5 23709 83711 0 4
6 3508 59349 1 3
7 20465 64631 1 2
8 21549 81555 0 3
9 34356 94361 0 3
