8 20 3 3
1 2119 52681 1 3
10 5196 31207 1 4
11 4725 31659 1 6
12 4691 32962 1 1
13 4204 29457 1 7
14 4183 31274 1 2
15 3642 33622 1 3
16 3144 14558 1 2
17 3125 35008 1 5
18 2642 45719 1 7
19 2604 44755 1 8
2 29 22904 1 8
20 85 60016 0 8
3 2084 46302 1 2
4 1591 57567 1 1
5 1569 56756 1 4
6 1083 60028 0 5
7 1041 52441 1 6
8 542 60025 0 2
9 531 60022 0 7
