8 20 1 3
1 14990 74992 0 7
10 37419 67693 1 3
11 14434 74435 0 8
12 34314 56528 1 2
13 10156 28086 1 8
14 33376 51480 1 4
15 7969 22399 1 2
16 8891 68892 0 -1
17 51861 75171 1 8
18 19619 70232 1 5
19 34301 72667 1 2
2 14522 74426 0 6
20 20447 42617 1 3
3 12322 30828 1 4
4 15707 42208 1 6
5 38545 65406 1 8
6 15191 75192 0 4
7 24025 36287 1 2
8 20435 50351 1 5
9 19631 50056 1 8
