8 20 3 3
1 2127 56241 1 2
10 4710 30497 1 6
11 4673 32165 1 1
12 4197 32327 1 3
13 4161 27660 1 2
14 3664 36145 1 7
15 3655 35092 1 5
16 3168 14249 1 2
17 3144 37349 1 2
18 2663 43216 1 8
19 2624 44009 1 4
2 44 23237 1 8
20 5180 24273 1 4
3 2115 45670 1 6
4 1630 56688 1 1
5 1590 56019 1 3
6 1094 60061 0 5
7 1073 53794 1 4
8 563 60044 0 7
9 549 60032 0 6
