4 20 1 1
1 23257 79482 1 4
10 35443 95446 0 4
11 4962 21525 1 2
12 21913 63719 1 2
13 21735 75968 1 3
14 9835 53469 1 3
15 11692 48819 1 4
16 2027 7962 1 3
17 14287 49626 1 2
18 13074 60153 1 4
19 20884 80888 0 4
2 7280 30743 1 3
20 21441 81442 0 3
3 6451 32552 1 4
4 9639 43106 1 2
5 23921 83923 0 2
6 3557 12738 1 4
7 20594 62357 1 3
8 21725 81725 0 2
9 34711 94712 0 4
