4 20 3 1
1 2135 59627 1 2
10 4659 26121 1 2
11 4655 23468 1 3
12 4157 39440 1 4
13 4153 39612 1 2
14 3654 29305 1 1
15 3651 39461 1 3
16 3151 8920 1 3
17 3146 35091 1 1
18 2649 46945 1 1
19 2634 49693 1 4
2 21 25655 1 4
20 79 60024 0 1
3 2113 59506 1 3
4 1603 60069 0 1
5 1590 60060 0 4
6 1081 60065 0 2
7 1057 60052 0 3
8 543 60045 0 2
9 529 60033 0 3
